City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Carutapera,-1.195,-46.02,87.03,61,41,10.4,BR,2021-12-12 19:04:04
99,Barrow,71.2906,-156.7887,-11.18,77,20,13.8,US,2021-12-12 19:04:04
100,Santiago Del Estero,-27.7951,-64.2615,99.81,21,1,9.71,AR,2021-12-12 19:04:05
101,Vao,-22.6667,167.4833,77.68,89,100,17.56,NC,2021-12-12 19:04:05
102,Kloulklubed,7.0419,134.2556,83.3,79,81,13.58,PW,2021-12-12 19:04:05
103,Sinnamary,5.3833,-52.95,77.22,90,100,11.23,GF,2021-12-12 19:04:06
104,Bluff,-46.6,168.3333,49.96,81,23,2.44,NZ,2021-12-12 19:04:06
105,Butaritari,3.0707,172.7902,82.65,72,97,17.72,KI,2021-12-12 19:04:06
106,Zyryanka,65.75,150.85,-38.61,98,100,6.08,RU,2021-12-12 19:04:07
107,Mugan,35.9404,101.3842,21.88,23,0,2.73,CN,2021-12-12 19:04:07
108,Georgetown,5.4112,100.3354,79.9,81,40,9.22,MY,2021-12-12 19:00:22
109,Khatanga,71.9667,102.5,-51.41,100,81,2.21,RU,2021-12-12 19:04:08
110,Santa Rosa,14.3122,121.1114,78.12,81,96,14.38,PH,2021-12-12 19:02:32
111,Adrar,20.5022,-10.0711,72.86,13,66,9.82,MR,2021-12-12 19:04:08
112,Faanui,-16.4833,-151.75,80.51,73,100,9.86,PF,2021-12-12 19:02:31
113,Goure,13.9835,10.2704,77.02,14,97,9.78,NE,2021-12-12 19:04:09
114,Hamilton,39.1834,-84.5333,49.75,47,0,1.01,US,2021-12-12 19:01:30
115,Karratha,-20.7377,116.8463,88.48,22,0,11.56,AU,2021-12-12 19:04:09
116,Tilichiki,60.4667,166.1,-8.48,82,100,15.1,RU,2021-12-12 19:04:10
117,Podgornoye,51.735,39.1496,23.22,100,90,15.66,RU,2021-12-12 19:04:10
118,East London,-33.0153,27.9116,72.54,94,75,5.75,ZA,2021-12-12 18:59:27
119,Mopti,14.6667,-4.0,84.38,11,100,7.78,ML,2021-12-12 19:04:10
120,Kolokani,13.5728,-8.0339,79.03,10,64,6.62,ML,2021-12-12 19:04:11
121,Tiarei,-17.5333,-149.3333,84.22,79,97,10.85,PF,2021-12-12 19:04:11
122,Hasaki,35.7333,140.8333,45.0,63,11,15.26,JP,2021-12-12 19:01:30
123,Saint Anthony,45.0205,-93.218,38.35,57,1,3.0,US,2021-12-12 19:04:12
124,New Norfolk,-42.7826,147.0587,49.5,74,25,2.1,AU,2021-12-12 19:04:12
125,Taoudenni,22.6783,-3.9836,72.84,12,92,12.62,ML,2021-12-12 19:04:12
126,Rudbar,30.15,62.6,52.54,30,0,5.91,AF,2021-12-12 19:04:13
127,Purwokerto,-7.4214,109.2344,72.46,93,100,1.86,ID,2021-12-12 19:04:13
128,Ancud,-41.8697,-73.8203,62.42,65,53,12.24,CL,2021-12-12 19:04:13
129,Ekhabi,53.5102,142.9671,25.99,83,100,18.68,RU,2021-12-12 19:04:14
130,Labrea,-7.2586,-64.7981,84.4,73,100,4.81,BR,2021-12-12 19:04:14
131,Namatanai,-3.6667,152.4333,79.2,84,100,1.77,PG,2021-12-12 19:05:14
132,Kapaa,22.0752,-159.319,75.11,59,73,4.0,US,2021-12-12 19:01:23
133,Ponta Delgada,37.7333,-25.6667,59.72,67,40,12.66,PT,2021-12-12 19:02:16
134,Babu,24.4167,111.5167,47.57,82,6,5.46,CN,2021-12-12 19:01:27
135,Ahipara,-35.1667,173.1667,68.18,96,100,5.14,NZ,2021-12-12 19:05:15
136,Darhan,49.4867,105.9228,3.92,90,10,2.66,MN,2021-12-12 19:05:15
137,Saint-Augustin,51.226,-58.6502,35.19,78,100,24.2,CA,2021-12-12 19:05:16
138,Port Moresby,-9.4431,147.1797,77.29,86,100,4.52,PG,2021-12-12 19:05:16
139,Santa Cruz,-17.8,-63.1667,77.05,83,90,10.36,BO,2021-12-12 19:05:16
140,Yar-Sale,66.8333,70.8333,-10.79,100,90,5.19,RU,2021-12-12 19:05:17
141,Rocha,-34.4833,-54.3333,81.86,48,38,13.73,UY,2021-12-12 19:05:17
142,Ishigaki,24.3448,124.1572,70.74,78,100,30.09,JP,2021-12-12 19:05:17
143,Sao Lourenco,-22.1164,-45.0544,76.37,69,100,4.81,BR,2021-12-12 19:05:17
144,La Ronge,55.1001,-105.2842,13.12,89,100,2.19,CA,2021-12-12 19:05:18
145,Sabla,12.7525,4.7077,79.75,12,47,8.59,NG,2021-12-12 19:05:18
146,Meadow Lake,34.8014,-106.5436,56.43,25,5,4.38,US,2021-12-12 19:00:22
147,Khandyga,62.6667,135.6,-40.58,100,80,1.48,RU,2021-12-12 19:05:19
148,Hambantota,6.1241,81.1185,73.74,100,20,3.44,LK,2021-12-12 19:05:19
149,Yellowknife,62.456,-114.3525,10.42,91,100,10.0,CA,2021-12-12 19:01:57
