City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Temba,ZA,73.11,overcast clouds,-25.3803,28.2631,Gene's Guesthouse
484,Boca Do Acre,BR,83.39,moderate rain,-8.7522,-67.3978,Hotel Sao Pedro
485,Daru,PG,76.89,overcast clouds,-9.0763,143.2092,Daru Lodge
488,Buin,CL,75.52,clear sky,-33.7333,-70.75,Paihuen
489,Biak,ID,77.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
502,Hualmay,PE,72.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
509,Manga,BF,80.24,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
513,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
515,Kudahuvadhoo,MV,81.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
519,Pandan,PH,78.55,overcast clouds,14.0453,124.1694,Bonifacio Lodge
523,Maumere,ID,80.47,overcast clouds,-8.6199,122.2111,Sylvia Hotel
525,Kendari,ID,75.56,overcast clouds,-3.945,122.4989,Hotel Wixel
528,Kaeo,NZ,72.32,moderate rain,-35.1,173.7833,Bushido Lodge
532,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
534,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
536,Namatanai,PG,81.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
539,Wewak,PG,77.92,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
540,Tahoua,NE,75.58,few clouds,14.8888,5.2692,Bungalows Guesthouse
541,Mecca,SA,73.26,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
542,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
546,Huejuquilla El Alto,MX,76.08,broken clouds,22.6,-103.8667,Hotel Huexuquillan
547,Broken Hill,AU,79.18,clear sky,-31.95,141.4333,Royal Exchange Hotel
551,Sola,VU,81.73,overcast clouds,-13.8833,167.55,Leumerus Bungalows
552,Soubre,CI,77.67,few clouds,5.7856,-6.6083,Lynd Hotels Soubre
554,Ocampo,MX,71.28,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
556,Hukuntsi,BW,75.45,overcast clouds,-24.0,21.75,Entabeni Hotel
560,Manadhoo,MV,82.49,overcast clouds,5.7667,73.3833,Bon Abri maldives
561,Kapoeta,SS,82.9,overcast clouds,4.7717,33.5903,Eastgate Hotel
564,Noumea,NC,84.18,light rain,-22.2763,166.4572,Hôtel Le Lagon
566,Mafra,BR,72.95,overcast clouds,-26.1114,-49.8053,Hotel Emacite Flex
569,Presidente Dutra,BR,83.53,broken clouds,-5.29,-44.49,Pousada Planalto
576,Tarrafal,CV,74.59,overcast clouds,15.2833,-23.7667,Hotel Ixola
577,Kipini,KE,80.89,broken clouds,-2.5257,40.5262,Delta Sea Mall
582,Pampa,US,76.19,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
584,Axim,GH,80.22,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
585,Bom Jesus,BR,79.65,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
586,Pilar,BR,80.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
587,Palmas Bellas,PA,87.26,broken clouds,9.2319,-80.0867,Estación de Chagres
589,Tete,MZ,84.52,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
591,Sao Felix Do Xingu,BR,75.45,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
592,Keningau,MY,73.85,heavy intensity rain,5.3378,116.1602,Sabindo Hotel
594,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
601,Soto La Marina,MX,75.22,broken clouds,23.7667,-98.2167,Hotel Chicago
602,Paracuru,BR,82.42,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
605,Montepuez,MZ,70.97,broken clouds,-13.1256,38.9997,PembaAparthotel
611,Muana,BR,84.54,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
612,Byron Bay,AU,75.06,overcast clouds,-28.65,153.6167,Backpackers Inn
622,San Vicente,AR,78.6,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
623,Venice,US,86.16,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
627,San Angelo,US,70.97,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
634,Passo De Camaragibe,BR,81.95,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
638,Gabu,GW,80.82,scattered clouds,12.2833,-14.2167,Hotel karsa
640,Elesbao Veloso,BR,88.23,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
643,Mozarlandia,BR,77.76,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
644,Bonoua,CI,83.82,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
653,Ahipara,NZ,70.48,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
657,Nautla,MX,71.01,scattered clouds,20.2167,-96.7833,Casa Blanca
664,Bubaque,GW,81.48,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
