City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Shimoda,JP,51.1,clear sky,34.6667,138.95,
506,Atherton,GB,54.72,broken clouds,53.5237,-2.4935,
507,Camacupa,AO,63.28,overcast clouds,-12.0167,17.4833,
508,Havre,FR,52.2,overcast clouds,49.5833,0.3333,
514,Methoni,GR,52.21,overcast clouds,36.8197,21.7049,
518,Aljezur,PT,60.71,clear sky,37.3191,-8.8033,
521,Peniche,PT,63.63,clear sky,39.3558,-9.3811,
531,Butembo,CD,60.48,overcast clouds,0.15,29.2833,
538,Kutum,SD,67.37,scattered clouds,14.2,24.6667,
543,Galveston,US,64.18,clear sky,29.3669,-94.9669,
550,Sterling,US,51.12,clear sky,39.0062,-77.4286,
557,Plouzane,FR,52.12,broken clouds,48.3833,-4.6167,
563,Turayf,SA,56.48,overcast clouds,31.6725,38.6637,
570,Santa Cruz De La Palma,ES,68.14,broken clouds,28.6835,-17.7642,
575,Exeter,GB,54.86,broken clouds,50.7236,-3.5275,
580,Bandarban,BD,56.88,clear sky,22.1965,92.2262,
590,Laurencekirk,GB,50.95,overcast clouds,56.8334,-2.4654,
595,Abu Samrah,SY,56.14,overcast clouds,35.3029,37.1841,
596,Wai,IN,69.69,broken clouds,17.9333,73.9,
598,Arona,ES,62.8,scattered clouds,28.0996,-16.681,
607,Muros,ES,55.24,broken clouds,42.7762,-9.0603,
619,Santa Barbara,US,59.34,clear sky,34.7333,-120.0343,
626,Lingao,CN,67.01,few clouds,19.9103,109.6859,
628,Karpathos,GR,62.56,clear sky,35.507,27.2132,
629,Himatangi,NZ,69.53,overcast clouds,-40.4,175.3167,
632,Da Lat,VN,54.81,overcast clouds,11.9465,108.4419,
641,Nadadores,MX,66.24,few clouds,27.05,-101.6,
646,Tateyama,JP,52.02,scattered clouds,34.9833,139.8667,
650,Plettenberg Bay,ZA,65.73,overcast clouds,-34.0527,23.3716,
651,Baikunthpur,IN,51.22,clear sky,23.25,82.55,
656,San Jeronimo,PE,67.08,scattered clouds,-11.9472,-75.2829,
659,Corrales,US,63.14,clear sky,35.2378,-106.6067,
662,Gat,IL,68.77,overcast clouds,31.61,34.7642,
665,Vila Franca Do Campo,PT,57.61,overcast clouds,37.7167,-25.4333,
