City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Minudasht,IR,37.2289,55.3747,51.15,81,100,3.94,overcast clouds
164,Tiksi,RU,71.6872,128.8694,-19.07,100,100,2.15,overcast clouds
165,Beringovskiy,RU,63.05,179.3167,-19.23,97,100,12.93,overcast clouds
166,Sinop,TR,41.7711,34.8709,50.43,51,0,13.18,clear sky
167,Upernavik,GL,72.7868,-56.1549,6.28,92,100,10.31,overcast clouds
168,Mugumu,TZ,-1.85,34.7,62.1,80,87,6.17,overcast clouds
169,Saint-Francois,FR,46.4154,3.9054,44.47,92,90,0.0,overcast clouds
170,Smithers,CA,54.7804,-127.1743,22.84,85,84,0.85,broken clouds
171,Adrar,MR,20.5022,-10.0711,69.62,15,34,10.63,scattered clouds
172,Garissa,KE,-0.4536,39.6401,81.07,63,99,11.39,overcast clouds
173,Strezhevoy,RU,60.7333,77.5889,-0.02,100,89,2.04,overcast clouds
174,Xingcheng,CN,40.6167,120.7167,24.98,38,0,5.75,clear sky
175,Benguela,AO,-12.5763,13.4055,78.31,79,85,3.2,overcast clouds
176,Hasaki,JP,35.7333,140.8333,43.2,53,32,16.62,scattered clouds
177,Bethel,US,41.3712,-73.414,46.49,38,1,4.0,clear sky
178,Kushmurun,KZ,52.4503,64.6311,2.41,96,14,2.21,few clouds
179,Sokoto,NG,13.0609,5.239,77.16,14,58,9.24,broken clouds
180,Fukue,JP,32.6881,128.8419,46.85,68,57,25.23,broken clouds
181,Gurupi,BR,-11.7292,-49.0686,77.5,89,100,4.36,overcast clouds
182,Marsa Matruh,EG,31.3525,27.2453,62.11,35,100,4.09,overcast clouds
183,Arman,RU,59.7,150.1667,11.91,94,100,9.95,light snow
184,Picui,BR,-6.5106,-36.3469,83.32,49,49,22.08,scattered clouds
185,Marawi,PH,7.9986,124.2928,66.65,94,86,2.3,overcast clouds
186,Pisco,PE,-13.7,-76.2167,73.45,73,20,14.97,few clouds
187,Itarema,BR,-2.9248,-39.9167,81.28,76,25,17.25,scattered clouds
188,Usak,TR,38.5,29.4167,46.9,76,16,7.74,few clouds
189,Impfondo,CG,1.6381,18.0667,74.53,78,99,3.29,overcast clouds
190,Vila,PT,42.0304,-8.1588,45.34,90,41,4.05,scattered clouds
191,Maceio,BR,-9.6658,-35.7353,81.84,78,20,12.66,few clouds
192,Praia Da Vitoria,PT,38.7333,-27.0667,53.76,74,100,23.4,overcast clouds
193,Olafsvik,IS,64.8945,-23.7142,42.35,88,98,22.57,overcast clouds
194,Bathsheba,BB,13.2167,-59.5167,79.65,81,99,17.2,overcast clouds
195,Amapa,BR,1.0,-52.0,76.5,93,72,3.56,broken clouds
196,Nabire,ID,-3.3667,135.4833,76.53,89,100,3.98,overcast clouds
197,Yulara,AU,-25.2406,130.9889,69.64,88,100,4.61,overcast clouds
198,Husavik,IS,66.0449,-17.3389,33.3,79,96,15.82,overcast clouds
199,Pemangkat,ID,1.1667,108.9667,77.5,89,99,5.99,overcast clouds
200,Iguatemi,BR,-23.6803,-54.5611,71.8,93,100,6.11,overcast clouds
201,Thompson,CA,55.7435,-97.8558,1.56,85,90,2.3,light snow
202,Plyussa,RU,58.4308,29.3654,30.42,99,100,2.59,light snow
203,Palauig,PH,15.435,119.9045,77.54,76,100,5.3,overcast clouds
